"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"BMP180";"BMP180";"BMP180";"BMP180";"BOSCH BMP180 DIGITAL BAROMETRIC PRESSURE SENSOR";"";"";"";"";"";"";"";
"C1";".1uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C2";".1uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C3";".1uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C4";".1uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C5";".1uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C7";"22uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C8";"10uf";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C9";"100uf";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"D1";"MBR120VLSFT1";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";
"FTDI";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Header 6";"";"";"";"";"CONN-08437";"";"";
"IC2";"74AHC1G125DBV";"74AHC1G125DBV";"SOT23-5";"Single Bus Buffer Gate with 3-State Output";"";"";"";"";"";"";"";
"J$1";"SMA_EDGE";"SMA_EDGE";"SMA-EDGE";"SMA Antenna Connector";"";"";"";"";"";"";"";
"JP1";"M02JST-PTH-VERT";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"L2";"2.2uh";"L-USL1812";"L1812";"INDUCTOR, American symbol";"";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";
"LM3480";"LM3480IM4";"LM3480IM4";"SOT23-3";"Small package linear regulator";"";"";"";"";"";"";"";
"LT3426";"LT3426";"LT3426";"SOT23-6";"LT3426";"";"";"";"";"";"";"";
"PTT";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";
"R1";"100ohm";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R3";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R5";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R6";"330ohm";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R7";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R8";"1m";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R9";"95.3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R10";"30.9k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"RX";"RX";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"SHT21";"SHT21";"SHT21";"DFN300X300X110-7N";"SENSOR, HUMIDITY & TEMP";"SHT21";"1855468";"20T1172";"DFN-6";"";"SENSIRION";"";
"SPI";"";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";"";"";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"";
"TX";"TX";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"TX1";"TX";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";
"U$1";"UBLOX_MAX";"UBLOX_MAX";"UBLOX_MAX";"UBLOX MAX";"";"";"";"";"";"";"";
"U$2";"RADIOMETRIX-HX1";"RADIOMETRIX-HX1";"RADIOMETRIX-HX1";"";"";"";"";"";"";"";"";
"U$3";"ANTENNA2SMD3";"ANTENNA2SMD3";"ANTENNA-CHIP4";"Chip antenna";"";"";"";"";"";"";"";
"U1";"ATMEGA168MLF";"ATMEGA168MLF";"MLF32";"Atmel 32-pin 8-bit micro, 16k flash.";"";"";"";"";"";"";"";
"Y1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"";"";"";"";"XTAL-08900";"";"16MHZ";
